name,type.name
.NET Assemblies,Specialized Skill
.NET Development,Specialized Skill
.NET Framework,Specialized Skill
.NET Framework 1,Specialized Skill
.NET Framework 3,Specialized Skill
.NET Framework 4,Specialized Skill
.NET MAUI (Multi-Platform App UI),Specialized Skill
.NET Reflector,Specialized Skill
.NET Remoting,Specialized Skill
.htaccess Files,Specialized Skill
.nettiers,Specialized Skill
10 Gigabit Ethernet,Specialized Skill
10-Hour MIOSHA Safety Certification,Certification
10-Hour OSHA Construction Card,Certification
10-Hour OSHA General Industry Card,Certification
100-Ton Master Captain's License,Certification
1010data,Specialized Skill
10BASE-F (Physical Layer Protocols),Specialized Skill
10BASE2,Specialized Skill
10BASE5,Specialized Skill
12 Volt Electricity,Specialized Skill
128bit,Specialized Skill
12factor,Specialized Skill
1Password,Specialized Skill
1st Class Power Engineer Certificate,Certification
200-Ton Master Captain's License,Certification
2020 Design Software,Specialized Skill
25-Ton Master Captain's License,Certification
2D Animation,Specialized Skill
2D Computer Graphics,Specialized Skill
2D Computer-Aided Drafting And Design,Specialized Skill
2D Gel Analysis Software,Specialized Skill
2nd Class Power Engineer Certificate,Certification
30-Hour MIOSHA Safety Certification,Certification
30-Hour OSHA Construction Card,Certification
30-Hour OSHA General Industry Card,Certification
35 Mm Films,Specialized Skill
360-Degree Feedback,Specialized Skill
389 Directory Server (Fedora Project),Specialized Skill
3A Pesticide Applicator License,Certification
3B Pesticide Applicator License,Certification
3COM Certified IP Telephony NBX Expert,Certification
3COM Certified IP Telephony VCX Expert,Certification
3CX Phone Systems,Specialized Skill
3Com Certified Wireless Specialist,Certification
3D Animation,Specialized Skill
3D Art,Specialized Skill
3D Camcorder,Specialized Skill
3D Computer Graphics,Specialized Skill
3D Computer Graphics Software,Specialized Skill
3D Conformal Radiotherapy (3DCRT),Specialized Skill
3D Graphic Design,Specialized Skill
3D Modeling,Specialized Skill
3D Modeling Software,Specialized Skill
3D Production,Specialized Skill
3D Projection,Specialized Skill
3D Reconstruction,Specialized Skill
3D Rendering,Specialized Skill
3D Scanning,Specialized Skill
3D Touch,Specialized Skill
3D Visualization,Specialized Skill
3DML,Specialized Skill
3DMark (Computer Benchmarking),Specialized Skill
3DSlicer,Specialized Skill
3Dvia Composer,Specialized Skill
3G Welding Certification,Certification
3GPP (Telecommunication),Specialized Skill
3GPP2 (Telecommunication),Specialized Skill
3M (Software),Specialized Skill
3M Certified,Certification
3M Codefinder,Specialized Skill
3M Encoder,Specialized Skill
3d Engine,Specialized Skill
3d Secure,Specialized Skill
3rd Class Power Engineer Certificate,Certification
3rd Party Systems Integration,Specialized Skill
401K Plan Administration,Specialized Skill
4D Modeling (Construction),Specialized Skill
4DOS (Command Line Interpreter),Specialized Skill
4G Welding Certification,Certification
4Sight,Specialized Skill
4th Class Power Engineer Certificate,Certification
